case_doc_subject_rf,predicted_material,size
Липецкая область,аудиофайлы с названиями банда москвы виват россии mp 3 и грот дым mp3 url адрес социальная сеть в контакте ,2
Липецкая область,брошюра правда о происхождении иисуса христа и девы марии автор вострягов в а издавалась в ооо сандерс средство массовой информации ,1
Липецкая область,брошюра свидетели иеговы кто они во что они верят изд watch tower bible and tract society of new york inc international bible students association brooklyn new york u s a 2000 ,1
Липецкая область,видеозаписи в интернет на по адресу p s 7 62 белые войны скины шавку в метро убей ч у спаси страну ,1
Липецкая область,видеозапись skinhead girl скинхед герл продолжительностью 02 минуты 03 секунды обнаруженная в вконтакте информационно телекоммуникационной на артемова и а по электронному адресу ,1
Липецкая область,видеозапись тимур муцураев иерусалим 1998 г длительностью 9 минут 37 секунд размещенная на по электронному адресу ,1
Липецкая область,видеоролик обращение бойцов славянского союза к русским гончаровым о в на интернет странице по в в контакте ру ,1
Липецкая область,видеоролик под названием русская революция запрещенный на tv ролик электронный адрес на личной пользователя в вконтакте аккаунт с профилем эдуард руднев ,1
Липецкая область,видеофайл бабушка отматерила чурку продолжительностью 1 мин начинающийся со слов я тебя ведь зарежу и заканчивающийся словами убью ,1
Липецкая область,видеофайл гимн антифа с толерастией длительностью 04 минуты 04 секунды на указателе страницы пользователя под условным именем алексей патрушев расположенной по адресу аудиозапись песни под названием гимн антифа все мы гордый горный народ ,1
Липецкая область,листовка с изображением мужчины еврейской национальности держащим голову славянской девочки с текстом ты будешь следующим находящаяся в материалах уголовного дела 09340362 в таштагольском городском суде уголовное дело имеет номер 1 106 10 и на ах и ,1
Липецкая область,музыкальное произведение аудиозапись группы фураж под названием панки фанаты и скины продолжительностью 03 мин 57 сек начинающаяся словами на русском языке которые под аккомпанемент классической гитары поет мужской голос ты выбриваешь ирокез идешь по улице гулять оканчивается словами и через годы их места солдаты новые займут ,1
Липецкая область,музыкальное произведение радикальный голос группы коловрат ,1
Липецкая область,песни группы банда москвы под названием нас становится все больше три ярких цвета отряды нс и расовая война ,2
Липецкая область,прокламация список государственных преступников адрес отправителя hqwaflmaiw el ru ,1
Липецкая область,размещенная на общедоступной пользователя пономарева а л в вконтакте текстовая и графическая информация расположенная по электронному адресу atamanalex1488 а именно фотография с комментарием под названием кавказцы бесполезная нация ,1
Липецкая область,речь в храме отца василия новикова в н размещенную как на диске dvd r map 702ll 13174652 а2 с надписью на лицевой стороне православие или смерть ,1
Липецкая область,скоковым в в под псевдонимом plasteline plastit в вконтакте видеозаписи банда москвы виват россия eb81df55cb33 67833227 vk хорсс mein kampf d70d613d9c35 66422328 vk а также находящиеся на следующих сайтах и 91873171 ,1
Липецкая область,статья с заголовком в россии нет ни одной русской национальной школы начинающаяся словами попробуйте вы создать русскую национальную школу и заканчивающаяся словами центры международной еврейской мафии ,1
Липецкая область,стихотворение начинающееся словами подумай что ты носишь на груди могильный крест еврейский на цепи и заканчивающееся словами восславим же святые небеса ,1
Липецкая область,текстовая часть аудиозаписи отраявленный мы русские rarecordmusic длительностью 02 минуты 53 секунды начинающаяся словами идите и скажите всем в чужих краях что русь жива нет права сдаваться запрещено унывать ты должен сражаться обязан побеждать и заканчивающаяся словами запомни славяне не будут рабами отраявленный два ноль один два за истину без компромиссов размещенная в ,1
Липецкая область,текстовая часть аудиозаписи стольный градъ белый мир длительностью 02 минуты 41 секунда начинающаяся словами а мне так хочется проснуться однажды в мире без черной сажи и заканчивающаяся словами в русских лесах лежит белый снег и топчет его белый 3 раза человек эй 8 раз размещенная в ,1
Липецкая область,фильм россия с ножом в спине еврейский фашизм и геноцид русского народа ,1
Магаданская область,текст песни реп это кал рок группы коррозия металла начинающийся со слов эй нигер рэп это кал и заканчивающийся словами п здец гопоте п здец гопоте п здец гопоте на момент предъявления заявления в суд в на по электронному адресу kal htmls ,1
Московская область, 20 песня багрово на закате солнце ,1
Московская область, видеозапись россия для русских mp4 ,1
Московская область, коловрат не покупай у чурок ,1
Московская область, под названием д и в децл нигер mр3 начинающийся словами реп придумали нигеры и заканчивающийся словами а децл нигер fucking децл ,1
Московская область, текст русский марш пройдет во владивостоке приходи сам и расскажи друзьям начинающийся словами несмотря на старания агентуры путинских спецслужб и заканчивающийся словами русские вперед русский порядок на русской земле ,1
Московская область, текстовая часть аудиозаписи sel mi на стягу коловрат всем славянам длительностью 03 минуты 08 секунд начинающаяся словами мы стали сплочённее за плечами четверть века и заканчивающаяся словами стирая границы ох погуляют славяне размещенная пользователем владимир мартынов на официальном интернет на веб сервисе сайта вконтакте ,2
Московская область, хорсс взаперти wmv ,1
Московская область, хорсс ненависть мр 3 хор сс арийская честь мр 3 хорсс white power мр 3 хорсс hammtrskins мр3 в графических изображениях 64 70 9 11 25 29 32 36 40 41 43 45 46 52 53 55 65 72 80 83 84 86 87 91 44 67 75 ,1
Московская область, электронная под именем аматуллах замужем му мина иншааллаха электронный адрес текст начинающийся фразой вставай страна ислам вставай на смертный бой и оканчивающийся фразой гнилой кремлевской нечисти загоним пулю в лоб русизму с демократией аудио и видео файлы 1с2с96f47344 мусульмане латвии нашид на русском призыв mp3 ,1
Московская область,аудиозапись sturmrise русская правда ,1
Московская область,аудиозапись w c d и аргентина чернильница буратино cover начинающаяся словами давай курчавенький давай давай кто раздвигает ноги всем заканчивающаяся словами чернильница давай на костер ее на костер ее ,1
Московская область,аудиозапись аргентина секс драка полная версия 3 54 ,1
Московская область,аудиозапись и ее текст под названием велимор яхвеблуд продолжительностью 3 минуты 34 секунды начинающаяся словами что скажешь лохи они чтят ложного бога они лишь блохи вредители из тьмы времен из алчной пасти и заканчивающаяся словами правление иеговы на земле в по адресам ,1
Московская область,аудиозапись русский стяг солнечный крест длительностью 3 минуты 01 секунда начинающаяся словами на наших стягах боевых героев кровь там солнце красное раскинуло лучи заканчивающаяся словами каждый получит свое в наших руках благовест солнечный крест солнечный крест ,1
Московская область,аудиозапись фонограмма обнаруженная 11 10 2011 в на в контакте на пользователя илья белоусов по адресу аргентина шире шаг ,1
Московская область,аудиокомпозиция коррозия металла бей чертей группы коррозия металла размещенная на интернет сайте ,2
Московская область,аудиоматериал русский стяг мы идем длительностью 02 минуты 47 секунд начинающийся словами поднимайтесь братья с нами знамя русское и заканчивающийся словами дорогу к стенам древнего кремля мы идем мы идем мы идем пользователем максим шевчук на официальном интернет сайте на веб сервисе сайта ,2
Московская область,видеозапись дмитрий боровиков продолжительностью 16 минут 46 секунд в которой произносимый текст начинается со слов освободить город от мигрантов требуют в санкт петербурге и заканчивается словами песни злей значит сильней размещенная в информационно коммуникационной интернет по адресам упрощенная запись данной страницы упрощенная запись данной страницы ,1
Московская область,видеозапись национал социалистический арт под музыку рамштаин солнце picrolla продолжительностью 4 мин 35 сек видеоряд которой образуют слайды на которых демонстрируется нацистская символика руководство нацистской партии и военнослужащие вермахта фотохроника массовых мероприятий нсдап символика русской освободительной народной армии и символика белых националистов начинающуюся с демонстрации слайда с изображением свастики и заканчивающуюся демонстрацией слайда с фотографиями адольфа гитлера размещенная в на пользователя вконтакте позиционирующего себя как максим сложнев в разделе видеозаписи по электронному адресу ,1
Московская область,видеозапись хорсс слава победе длительностью 02 минуты 46 секунд размещенная в сообществе группа хорсс на интернет сайте ,1
Московская область,видеоролик группы ансамбль христа спасителя и мать сыра земля синагога в на общей продолжительностью 1 59 минут ,1
Московская область,видеоролики наставление катехизис еврея в ссср изъят в 1961 русская революция злая россия you must murder ,1
Московская область,видеоролики хорсс mein kampf mp4 хорсс моя борьба mp4 аудиофайлы коловрат правый скинхед mp3 коловрат и коррозия метала белые волки mp3 географические папка 00 файл 58 папка 00 файл 15 в в вконтакте ,1
Московская область,материал изложенный в виде текста песни под названием white power исполнителя группы под названием коррозия металла распространяемый на в информационно телекоммуникационной интернет ,1
Московская область,материалы плакат с надписью yo sharp ram a bullet your neck плакат с надписью русское национальное единство россия хватит спать листовку с модифицированным изображением памятника минину и пожарскому с надписью взгляника князь какая мразь в стенах кремлевских завелась русский собрат мы должны спасти нашу страну и дать будущее нашим детям русское освободительное движение ждет тебя вступай плакат с изображением стреляющего боевика подписанный совесть 18 представителей ку клукс клана с подписью you know with hoods on some of these guys could pass и флага с крестом агитационный плакат на котором изображена азиатская саранча перелетающая через амур из китая в россию с надписью внимание азиатская саранча их никто не завал но они чувствуют себя здесь как дома потому что ты не азиат ты этого ждешь текст с заголовком азбука славянских бритоголовых на 4 х листах выпуск газеты русский фронт вестник амурского отделения рне 6 2004 г на 3 х листах плакат с изображением винни пуха с оскалом и свастикой на рукаве плакат подписанный совесть 18 с изображением бритоголового с эмблемой white роwеr на рукаве куртки бьющего ногой лицо кавказской национальности с наклеенным изображением флага со свастикой самодельный макет страницы рисунок художника с подписью совесть 18 т 2 л д 47 агитационный плакат с изображением автобуса грозный москва и афиши норд ост листовку с изображением девочки и надписью папа ты защитишь меня от черных русское освободительное движение ждет тебя лист бумаги белого цвета на одной стороне которого изображен мужчина в форме немецко фашистских войск времен 2 й мировой войны у которого в руках знамя с изображением свастики рисунки с надписью содержи страну в чистоте с надписью будь бдительным с надписью русь пробудись с изображением винни пуха со свастикой на рукаве рисунок подписанный совесть 18 с изображением стреляющего боевика рисунок подписанный совесть 18 с изображением бритоголового со знаком white power бьющего лицо кавказской национальности самодельный макет страницы для будущей газеты комикса или другой печатной продукции подборку материалов интернет сайта белый кулак в которой в виде инструкции даны 18 советов белому воину и 13 тезисов о повседневном пока не поздно подумай о своем будущем бей врага бей первым бей точно бей сильно соблюдай конспирацию страна не должна знать своих героев не раздумывай никого не жалей подборка агитационных плакатов самодельный макет страницы рисунок художника с подписью совесть 18 и агитационный плакат с изображением автобуса грозный москва и афиши норд ост листовку русского национального единства на листе бумаги белого цвета формата а 5 в чёрно белом варианте с надписью россия ждёт твою волю плакат на листе бумаги белого цвета формата а 4 с изображением свастики и ползущего человека два листа бумаги белого цвета формата а 4 с изображением свастики и надписью белый кулак национал социалистическая газета постановление орджоникидзевского районного суда г уфы от 08 12 2008 и определение орджоникидзевского районного суда г уфы от 02 10 2009 ,2
Московская область,музыкальное произведение аудиозапись караоке 282 комендант продолжительностью около 2 минут 24 секунд ,1
Московская область,музыкальное произведение аудиозапись караоке 282 панцерваген расписной продолжительностью около 3 минут 41 секунды ,1
Московская область,музыкальное произведение аудиозапись русский стяг роа продолжительностью около 5 минут 28 секунд ,1
Московская область,музыкальное произведение и текст песни россия для чурок ,1
Московская область,номер газеты евпатий коловрат 45 за январь февраль 2006 года ,1
Московская область,публикация под названием 88 заповедей дэвида лэйна размещенная в вконтакте информационно телекоммуникационной на группы rahowa по адресу ,1
Московская область,текст песни группы коловрат под названием нигер убирайся вон автором и исполнителем которой является герасимов денис андреевич ,1
Московская область,текст песни группы коловрат под названием синяя болезнь автором и исполнителем которой является герасимов денис андреевич ,1
Московская область,текст песни и видеоролик тимур муцураев исламская умма продолжительностью около 5 мин 40 сек ,2
Московская область,текст трех идентичных друг другу по содержанию аудиозаписей под названием инструкция по выживанию убить жида длительностью 3 мин 07 сек 3 мин 14 сек и 3 мин 19 сек размещенных в на vk com по электронному адресу по выживанию убить жида c section audio ,1
Московская область,текстовая часть аудиозаписи p s 7 62 улица кадырова длительностью 03 минуты 18 секунд начинающаяся словами во столице есть теперь улица кадырова и заканчивающаяся словами следующий мой удар будет по кремлю размещенная пользователем владимир мартынов на официальном интернет на веб сервисе сайта вконтакте ,1
Московская область,текстовая часть аудиозаписи хорсс вне закона длительностью 02 минуты 42 секунды начинающаяся словами полиция норовит накинуть свой колпак и часто становится твой самый злейший враг и заканчивающаяся словами но никто в силах твою волю сломать вне закона вне закона ты объявлен вне закона размещенная в сообществе группа хорсс на интернет сайте ,1
Московская область,текстовая часть аудиозаписи хорсс кто из нас длительностью 03 минуты 06 секунд начинающаяся словами честь забыта гордость подавлена верность глубоко похоронена и заканчивающаяся словами кто готов честь сохранить кто будет драться и жить кто повтор 4 раза размещенная в сообществе группа хорсс на интернет сайте ,1
Московская область,часть книги фазаиль амали 450 страниц авторов шейхуль хадис маулана и мухамада закирия кандехлеви рахматулахи алейхи издательства религиозное просвещение казань 2007 ценности намаза страницы 79 155 ,1
Мурманская область, kaffa девочка чернильница продолжительностью 04мин 16сек ,1
Мурманская область, аудиозапись коловрат анти антифа mp3 ,1
Мурманская область, видеозапись россия для русских mp4 ,1
Мурманская область, должен знать каждый продолжительностью 26 мин 32 сек ,1
Мурманская область, лихие 90 е скинхеды mp4 видеофонограмма продолжительностью 02 мин 01 сек видеоролик содержит сцену разгрома продуктового рынка толпой скинхедов бритоголовых мужчин с битами толпа несет транспаранты в том числе с надписью россия для русских ,1
Мурманская область, пользователем под именем молодой мастер начинающегося и заканчивающегося словами нужно всех евреев тут делать ,1
Мурманская область, это видео кондопога запрещено к показу фсб ,1
Мурманская область,аудиовизуальный файл как евреи уничтожают рода асов продолжительностью 7 минут 40 секунд представляющий собой комбинацию письменных текстов начинающихся с надписи на экране как евреи уничтожают рода асов и заканчивающихся надписью российское общенародное движение курс правды и единения и устной речи начинающейся со слов я вот только что был в израиле и заканчивающейся словами и по сути он сам сказал о том что нам необходимо иметь одно общее пространство размещенных в информационно телекоммуникационной интернет ,1
Мурманская область,аудиозапись под названием русский стяг русь великая mp3 аудиозапись под названием русский стяг стальные орлы mp3 ,1
Мурманская область,аудиофайл коловрат слава россии в в вконтакте на интернет странице пользователя влад черняк по ,2
Мурманская область,аудиофайл под названием дюшес я рисую белым мелом 14 88 ,1
Мурманская область,аудиофайл трезвый заряд решайся на стихи а воеводина продолжительностью 2 мин 54 сек начинающийся словами как любим мы поболтать о революции о битвах и заканчивающимся словами и девушки хватит химер вам путь указан ковалевой ,1
Мурманская область,видеозапись коловрат размещенная пользователем соколовым а с на интернет странице в вконтакте ,1
Мурманская область,видеоклип последнее интервью приморских партизан в международной компьютерной на ,1
Мурманская область,видеоматериал содержащийся в видеофайле под названием обращение амира ик доку абу усмана и амира супьяна к моджахедам идеаль урала вилайятам татарстан и башкортостан на по адресу ,1
Мурманская область,видеоматериалы скинхеды ns wp russia for russians россия для русских 14 88 обращение бойца славянского союза к русской нации на е в вконтакте ,1
Мурманская область,видеоролик коловрат московские бритоголовые продолжительностью 2 минуты 28 секунд ,1
Мурманская область,видеофайл видео док фильм русское сопротивление по ,1
Мурманская область,видеофайл я русский русский не покупай у чурок в в контакте в интернет имеющий сетевой адрес ,1
Мурманская область,видеофайлы слава россии слава руси от сердца к солнцу в в контакте в интернет имеющие сетевой адрес ,1
Мурманская область,листовка с заголовком русский внимание и завершающаяся текстом боритесь с оккупантами любыми доступными средствами вместе мы сила вместе победим слава россии русский сражайся ,1
Мурманская область,материалы расположенные в сайта вконтакте на в аудиофайлах коловрат в нашем доме появился замечательный скинхед мр 3,1
Мурманская область,музыкальная композиция группы черная экономика и рыночные отношения я хочу чтоб мусора сосали х й на месте многоточия у размещенная в вконтакте ,2
Мурманская область,музыкальное произведение каскадеры группы коловрат ,1
Мурманская область,музыкальное произведение радикальный голос группы коловрат ,1
Мурманская область,музыкальное произведение убей мента группы психея ,1
Мурманская область,музыкальные произведения праворадикальной группы p s 7 62 песни имеющие названия белая гвардия властелины руси единство информация к размышлению мой город ни огонь ни вода партизанская просьба священная расовая война собирательный образ сопротивление социум тем кто помнит улица террориста кадырова фашизм не пройдет черный флаг право ,1
Мурманская область,пулькиным д н в интернет на видеозапись черная коза файл chernaya koza flv аудиозапись 1488 я рисую белым мелом 14 88 ya risuyubelym melom 14_88 mp ,1
Мурманская область,статья путин в ярости стыдно быть русским запрещенное в россии видео размещенная в на ,1
Мурманская область,текст песни группы коловрат под названием слава победе автором и исполнителем которой является герасимов денис андреевич ,1
Мурманская область,текст песни группы коловрат под названием честь и кровь автором и исполнителем которой является герасимов денис андреевич ,1
Мурманская область,текст песни ты белый музыкальной группы сейтар ,1
Мурманская область,тексты семи стихотворений с заголовком skin heads россии начинающихся и заканчивающихся словами россия прекрасная страна от разной с ки на земле россия родина моя пока живет в россии смерть спасай россию митчер 2002 пи ы получать пришельцы из зинбабу к себе в вонючюю чечню с новым годом или смерть дед мороз герман черно ая страна россия чистая страна размещенных в по электронному адресу voltt2 narod ru stihi htmi ,1
Нижегородская область, видеозапись о толерантности ,1
Нижегородская область, видеоролик за что мир ненавидит жидов в ,2
Нижегородская область, графического и текстового форматов видеозапись под названием а пшехарька содержащий видеоизображение двух дерущихся несовершеннолетних девочек под аккомпанемент мусульманской мелодии и звукового сопровождения с текстом следующего содержания аллах над нами земля под нами ножи в кармане вперед мусульмане а также заставку с письменным текстом следующего содержания мусульмане русских в рот е т распространенный с помощью сотовой связи неопределенному кругу лиц ,1
Нижегородская область, ты гори гори гори жидяра йо хо хо ,1
Нижегородская область,аудио ролик тимур муцураев_ _ иншааллаh сады нас ждут длительностью 6 минут 26 секунд в разделе аудиозаписи на пользователя в вконтакте глеб кармацких по адресу ,1
Нижегородская область,аудиозапись под названием тимур муцураев 12000 муджахедов mр3 продолжительностью 04 мин 45 сек начинающаяся словами багрово на закате солнце и заканчивающаяся словами все ж покорим йерусалим ,1
Нижегородская область,видеозапись тимур муцураев иерусалим 1998 г длительностью 9 минут 37 секунд размещенная на по электронному адресу ,1
Нижегородская область,видеоматериалы в информационно телекоммуникационной интернет на страницах сайтов тимур муцураев оппозиционер wmv посвящается предателям чечни тимур муцураев ,1
Нижегородская область,видеоролик обращение бойцов славянского союза к русским гончаровым о в на интернет странице по в в контакте ру ,1
Нижегородская область,книга чему на самом деле учит библия изд watch tower bible and tract society of new york inc brooklyn new york u s a 2005 ,1
Нижегородская область,материалы расположенные в сайта вконтакте на в аудиофайлах коловрат в нашем доме появился замечательный скинхед мр 3,1
Нижегородская область,размещенная байкаловым никитой игоревичем в на сергей правый сайта аудиозапись велимор коловрат россия ,1
Нижегородская область,текст план даллеса по уничтожению ссср россии ,1
Нижегородская область,текстовая часть аудиозаписи хорсс народный гнев длительностью 01 минута 03 секунды начинающаяся словами вы герои этого временит вы словно не взятый рубеж и заканчивающаяся словами за порядок стоит ополчение за свободу горят костры размещенная в сообществе группа хорсс на интернет сайте ,1
Новгородская область, стихотворение письмо фюреру начинающееся словами здравствуй дорогой любимый фюрер и заканчивающееся словами возвращайся мир сошел с ума на электронных страницах сайтов в интернет livejournal com 6951 html,1
Новгородская область, формат 18 ,1
Новгородская область,видеоролик банда москвы виват россия отмахали цунора на nacxy wmv ,1
Новгородская область,исключен,1
Новгородская область,книга послание о народе нохчи текст р ибрагимов элиста заор нпп джангар 2014 236 с илл апелляционное определение судебной коллегии по гражданским делам верховного суда чеченской республики от 12 10 2017 ,1
Новгородская область,книги 1 крепость мусульманина из слов поминания аллаха встречающихся в коране и сунне собрал и подготовил к изданию нуждающийся в аллахе всевышнем сайд бин али бин вахф аль кахтани на 254 л ,2
Новгородская область,лозунг россия для русскихъ в е ,1
Новосибирская область, read php 40 1418216 page 2,2
Новосибирская область, банда москвы арийский легион,1
Новосибирская область, текстовая часть аудиозаписи sel mi на стягу коловрат всем славянам длительностью 03 минуты 08 секунд начинающаяся словами мы стали сплочённее за плечами четверть века и заканчивающаяся словами стирая границы ох погуляют славяне размещенная пользователем владимир мартынов на официальном интернет на веб сервисе сайта вконтакте ,1
Новосибирская область,видеоролик россия для русских размером 4 66 мб продолжительностью 01 мин 52 сек видеоролик хорсс россия для русских размером 8 65 мб продолжительностью 03 мин 16 сек видеоролик россия для русских размером 6 45 мб продолжительностью 02 мин 23 сек видеоролик а ну ка давай ка размером 499 кб продолжительностью 00 мин 08 сек ,1
Новосибирская область,видеоролики видеоматериалы с названиями песня тирольских казаков полено fnv a00e7d31da 480mp3 фюрер кощей передает приветы своим почитателям ,1
Новосибирская область,видеофайл россия для русских продолжительностью 50 секунд ,1
Новосибирская область,евстафьевым п с в на интернет странице аудиоматериал the киборг бритый и злой размером 2 97 мб ,1
Новосибирская область,книга мухаммад закария кандехлави благочестие и богобоязненность казань издательство дом печати 2003 248 ,1
Новосибирская область,музыкальное произведение радикальный голос группы коловрат ,1
Новосибирская область,музыкальные произведения аудиозаписи зига зага пам пам не покупай у чурок группы коловрат ,1
Омская область, 12 песня о аллах мир окутан страшной мглой ,7
Омская область, 26 песня тюрьма племен империя палач ,2
